Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125094,Вінницька область,23.1399,4.7,19.4519,53.511,1,1,54,Б
Національний технічний університет «Дніпровська політехніка»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02070743,Дніпропетровська область,21.7982,6.4,18.7186,51.4938,1.05,1,54,Б
Київський національний економічний університет імені Вадима Гетьмана,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070884,Київ,22.7439,6.1667,19.4285,53.4467,1,1,53,Б
Дрогобицький державний педагогічний університет імені Івана Франка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125438,Львівська область,22.3625,5.4333,18.9767,52.2038,1,1,52,Б
Полтавський державний аграрний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493014,Полтавська область,22.6312,4.815,19.068,52.4549,1,1,52,Б
Чорноморський національний університет імені Петра Могили,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",23623471,Миколаївська область,20.2685,4.4667,17.1081,47.0634,1.1,1.011,52,Б
Мукачівський державний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,36246368,Закарпатська область,21.8081,5.5667,18.5598,51.0569,1,1,51,Б
Таврійський державний агротехнологічний університет імені Дмитра Моторного,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00493698,Запорізька область,18.8321,4.8097,16.0276,44.091,1.15,1,51,Б
Київський національний університет технологій та дизайну,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070890,Київ,21.7482,4.6333,18.3252,50.4115,1,1,50,Б
Одеський національний університет імені І.І. Мечникова,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02071091,Одеська область,19.2946,6.8147,16.7986,46.212,1.05,1,49,В
Херсонський державний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02125609,Херсонська область,18.0101,3.8,15.1681,41.7265,1.15,1,48,В
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070832,Закарпатська область,19.6728,4.7777,16.6938,45.9237,1,1,46,В
Дніпровський національний університет імені Олеся Гончара,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02066747,Дніпропетровська область,18.4896,4.9523,15.7821,43.4156,1.05,1,46,В
"Національний університет ""Одеська політехніка""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",43861328,Одеська область,18.3161,5.5333,15.7595,43.3535,1.05,1,46,В
Херсонський національний технічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",05480298,Херсонська область,16.7409,5.889,14.5705,40.0826,1.15,1,46,В
Державний вищий навчальний заклад «Приазовський державний технічний університет»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02070812,Донецька область,17.2153,2.6333,14.2989,39.3354,1.15,1,45,В
Херсонський державний аграрно-економічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",00493020,Херсонська область,14.2809,4.889,12.4025,34.1185,1.15,1.142,45,В
Чернівецький національний університет імені Юрія Федьковича,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02071240,Чернівецька область,19.1949,5.5667,16.4693,45.3061,1,1,45,В
Бердянський державний педагогічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02125220,Запорізька область,16.0962,4.1,13.697,37.6796,1.15,1,43,В
ДВНЗ «Донбаський державний педагогічний університет»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",38177113,Донецька область,15.3366,4.926,13.2545,36.4623,1.15,1,42,В
Тернопільський національний педагогічний університет імені Володимира Гнатюка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125544,Тернопільська область,17.388,6.4,15.1904,41.7879,1,1,42,В
"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02125131,Луганська область,14.6561,6,12.9249,35.5556,1.15,1,41,В
Маріупольський державний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",26593428,Донецька область,14.8274,6.1,13.0819,35.9875,1.15,1,41,В
Миколаївський національний аграрний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",00497213,Миколаївська область,16.2215,3.2917,13.6355,37.5105,1.1,1,41,В
Сумський державний педагогічний університет імені А. С. Макаренка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02125510,Сумська область,15.4648,5.5,13.4718,37.0601,1.1,1,41,В
Білоцерківський національний аграрний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493712,Київська область,17.0442,5,14.6354,40.2611,1,1,40,В
"Державне некомерційне підприємство ""Державний Університет ""Київський авіаційний інститут""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,45853942,Київ,17.5623,3.1483,14.6795,40.3824,1,1,40,В
Національний університет харчових технологій,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070938,Київ,17.298,2.7083,14.3801,39.5588,1,1,40,В
Університет митної справи та фінансів,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",39568620,Дніпропетровська область,16.0998,5.3,13.9398,38.3476,1.05,1,40,В
Прикарпатський національний університет імені Василя Стефаника,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125266,Івано-Франківська область,15.9024,5.7667,13.8753,38.1701,1,1,38,В
Київський національний університет будівництва і архітектури,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070909,Київ,14.6764,6.4073,13.0226,35.8244,1,1,36,В
Університет Григорія Сковороди в Переяславі,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,04543387,Київська область,15.4659,4.4287,13.2585,36.4733,1,1,36,В
Харківський національний педагогічний університет імені Г. С. Сковороди­,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02125585,Харківська область,13.5164,4.8333,11.7798,32.4055,1.1,1.016,36,В
Ізмаїльський державний гуманітарний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02125467,Одеська область,14.4759,3.3333,12.2474,33.6919,1.05,1,35,В
