№,Індикатор,Назва індикатору,Тип установи,Напрям,Медіана
61,I24,"Кількість словників, довідників, каталогів тощо",Наукова установа,Суспільний,0.35
62,I25,Кількість видань категорії А,Наукова установа,Суспільний,0.0
63,I26,"Кількість патентів України на винахід, сорти рослин",Наукова установа,Суспільний,0.0
64,I27,Кількість патентів України на корисну модель,Наукова установа,Суспільний,0.0
65,I28,Кількість свідоцтв України на комп програму,Наукова установа,Суспільний,0.0
66,I29,Кількість міжнародних патентів,Наукова установа,Суспільний,0.0
67,I30,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом)",Наукова установа,Суспільний,0.0
68,I31,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом) як координатор",Наукова установа,Суспільний,0.0
69,I32,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом), які профінансовані",Наукова установа,Суспільний,0.0
70,I33, Кількість заявок на загальнодержавні гранти,Наукова установа,Суспільний,0.004
71,I34,"Кількість заявок на загальнодержавні гранти, які профінансовані",Наукова установа,Суспільний,0.0
72,I35,Кількість заявок на інші міжнародні гранти,Наукова установа,Суспільний,0.0
73,I36,"Кількість заявок на інші міжнародні гранти, як координатор",Наукова установа,Суспільний,0.0
74,I37,"Кількість заявок на інші міжнародні гранти, як переможець",Наукова установа,Суспільний,0.0
75,I1,Захисти доктори філософії,Заклад вищої освіти,Аграрно-ветеринарний,0.037
76,I2,Захисти доктори наук,Заклад вищої освіти,Аграрно-ветеринарний,0.012
77,I3,Кількість молодих вчених,Заклад вищої освіти,Аграрно-ветеринарний,0.24
78,I4,Кількість наукових працівників за основним місцем роботи**,Заклад вищої освіти,Аграрно-ветеринарний,0.005
79,I5,Показник гендерної рівності,Заклад вищої освіти,Аграрно-ветеринарний,0.165
80,I6,Кількість дослідників із науковими ступенями,Заклад вищої освіти,Аграрно-ветеринарний,0.792
81,I7,Кількість проведених експертиз,Заклад вищої освіти,Аграрно-ветеринарний,0.01
82,I8,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом)",Заклад вищої освіти,Аграрно-ветеринарний,0.0
